Função Hash,Percentual colisão encadeamento,Percentual colisão endereçamento aberto,Tamanho,Alfa,Tempo Construção Encadeamento,Número Comparações Construção Encadeamento,Tempo Construção Endereçamento Aberto,Número Comparações Construção Endereçamento Aberto,Tempo Consulta Encadeamento,Número Comparações Consulta Encadeamento,Tempo Consulta Endereçamento Aberto,Número Comparações Consulta Endereçamento Aberto,Número de Hits Encadeamento,Número de Hits Endereçamento Aberto
mod_tam,0.0,0.0,50,0.5,3.314018249511719e-05,0,1.6927719116210938e-05,0,2.2172927856445312e-05,36,0.000291109085083,1401,36,36
mod_tam,0.0,0.0,100,0.5,0.0001144409179687,0,5.14984130859375e-05,0,4.673004150390625e-05,76,0.0015513896942138,4801,76,76
mod_tam,0.0,0.0,200,0.5,0.0002458095550537,0,0.0001282691955566,0,9.942054748535156e-05,167,0.0032875537872314,13201,167,167
mod_tam,0.0,0.0,300,0.5,0.0004105567932128,0,0.0001585483551025,0,0.0001692771911621,225,0.0249195098876953,45001,225,225
mod_tam,0.0,0.0,500,0.5,0.0014493465423583,0,0.0001804828643798,0,0.000173807144165,392,0.0291264057159423,108001,392,392
mod_tam,0.0,0.0,750,0.5,0.0013797283172607,0,0.0005621910095214,0,0.000666856765747,501,0.103482961654663,373501,501,501
mod_tam,0.0,0.0,1000,0.5,0.0007240772247314,0,0.0006191730499267,0,0.0005455017089843,756,0.1283891201019287,488001,756,756
mod_tam,0.0,0.0,1500,0.5,0.0015778541564941,0,0.0008847713470458,0,0.0010478496551513,1087,0.3136658668518066,1239001,1087,1087
mod_tam,0.0,0.0,2000,0.5,0.0028700828552246,0,0.0012392997741699,0,0.0017940998077392,1638,0.3742635250091553,1448001,1638,1638
mod_tam,0.0,0.0,3000,0.5,0.0036730766296386,0,0.0017964839935302,0,0.0025043487548828,2482,0.7964894771575928,3108001,2482,2482
mod_tam,0.12,0.28,50,1.0,4.673004150390625e-05,6,0.0001108646392822,175,1.7642974853515625e-05,41,0.00014328956604,762,36,36
mod_tam,0.14,0.32,100,1.0,8.487701416015625e-05,14,0.0002083778381347,756,4.8160552978515625e-05,83,0.0007998943328857,2794,76,76
